Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,product_name,average_rating,total_no_of_reviews,brand,model,in_stock,condition,ships_from,sold_by,prime_eligible,drive_type,form_factor,interface,read_speed_mbps,write_speed_mbps,estimated_delivery_date,warranty_months
$0.006,$5.629,"$1,351",12 TB x20,,Tape,LTO-8,New,https://www.amazon.com/dp/B077LQSKT2?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum MR-L8MQN-20 LTO-8 12TB & 30TB Ultrium-8 Tape Library Pack Data Cartridge - 20 per Pack,4.5,0,Quantum,MR-L8MQN-20,True,new,ABCX DIRECT,ABCX DIRECT,False,Portable HDD,"3.5""",USB 3.0,360,360,04/30,12
$0.006,$5.658,$679,12 TB x10,,Tape,LTO-8,New,https://www.amazon.com/dp/B0BFJXH2H5?tag=synack-20&linkCode=osi&th=1&psc=1,Q2078A HPE LTO 8 10 Pack of Data cartridges,4.5,0,HPE,Q2078A,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,360,360,05/07,120
$0.006,$5.666,$68,12 TB,,Tape,LTO-8,New,https://www.amazon.com/dp/B07X93Z23X?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji Ultrium 8 12TB/30TB,4.5,50,Fujifilm,LTO FB UL-8 12.0T J,True,new,Amazon,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,360,750,04/30,12
$0.006,$5.666,"$1,360",12 TB x20,5 years,Tape,LTO-8,New,https://www.amazon.com/dp/B079YPMMX5?tag=synack-20&linkCode=osi&th=1&psc=1,"Hewlett Packard Enterprise LTO8 12TB/30TB Data Cartridge (LTO Ultrium 8, 20 Ribbons, Label-Fix)",4.5,45,Hewlett Packard Enterprise,Q2078AN,True,new,Amazon,ABCX DIRECT,True,Portable HDD,"3.5""",USB 3.0,360,300,05/04,60
$0.006,$5.667,"$1,360",12 TB x20,,Tape,LTO-8,New,https://www.amazon.com/dp/B07VXRPZ88?tag=synack-20&linkCode=osi&th=1&psc=1,HPE LTO-8 Ultrium 30TB RW Custom Labeled Library Pack 20 Data Cartridges with Cases,4.0,0,HEWLETT PACKARD,Q2078AL,True,new,Amazon,Malelo and Company,False,Portable HDD,Rack,SAS,0,0,04/30,0
$0.006,$5.829,$699,12 TB x10,2 years,Tape,LTO-8,New,https://www.amazon.com/dp/B0DJHGZKX4?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum Lto 8 - 10 Pack,4.5,24,Quantum,MR-L8MQN-01PK10,True,new,third-party,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,360,360,05/07,24
$0.006,$5.875,$705,12 TB x10,,Tape,LTO-8,New,https://www.amazon.com/dp/B07CGVZFNR?tag=synack-20&linkCode=osi&th=1&psc=1,"10 Pack Q2078A- HP LTO Ultrium 8, 12TB/ 30TB, Part",4.1,9,HP,Q2078A,True,new,Amazon,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,360,360,04/29,12
$0.006,$6.062,$24,400 GB x10,,Tape,LTO-3,Used,https://www.amazon.com/dp/B003LMHSRW?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum 10 Pack LTO Ultrium-3 Data Tape (400/800GB) - Blue Tape Cartridges,5.0,5,Quantum,MR-L3MQN-01,True,new,Malelo and Company,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,80,80,04/30,12
$0.006,$6.074,"$1,458",12 TB x20,,Tape,LTO-8,New,https://www.amazon.com/dp/B07D4P99YC?tag=synack-20&linkCode=osi&th=1&psc=1,IBM LTO-8 Tape Cartridge 20-Pack Part# 01PL054,4.5,0,IBM,01PL054,True,new,Malelo and Company,Malelo and Company,False,Tape Cartridge,LTO-8,LTO,360,360,04/30,12
$0.006,$6.082,$73,12 TB,,Tape,LTO-8,New,https://www.amazon.com/dp/B07H44V146?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum LTO-8 Data Cartridge/Tape,5.0,2,Quantum,QTMMR-L8MQN-01,True,new,third-party,ABCX DIRECT,True,Portable HDD,"3.5""",USB 3.0,360,360,04/30,36
$0.006,$6.332,$76,12 TB,,Tape,LTO-8,New,https://www.amazon.com/dp/B0B9Q4VT5H?tag=synack-20&linkCode=osi&th=1&psc=1,"IBM 01PL041 LTO-8 Ultrium, 12TB/30TB, Part",4.5,150,IBM,01PL041,True,new,Malelo and Company,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,360,360,05/07,12
$0.006,$6.499,$78,12 TB,,Tape,LTO-8,New,https://www.amazon.com/dp/B079YLWNZ6?tag=synack-20&linkCode=osi&th=1&psc=1,"IBM LTO-8 Ultrium, 12TB/30TB, Part",4.2,16,IBM,01PL041,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 2.0,360,360,04/30,12
$0.007,$7.250,$870,6 TB x20,,Tape,LTO-7,New,https://www.amazon.com/dp/B07BVMJJR8?tag=synack-20&linkCode=osi&th=1&psc=1,IBM 38L7315 Lto-Ultrium Data Cartridge 6TB & 15TB Bafe Library Pack,4.3,0,IBM,38L7315,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,0,0,04/30,24
$0.008,$8.083,$970,12 TB x10,,Tape,LTO-9,New,https://www.amazon.com/dp/B0BFJT4GPW?tag=synack-20&linkCode=osi&th=1&psc=1,Q2079A HPE LTO 9 - 10 Pack of Data cartridges,4.5,12,HPE,Q2079A,True,new,third-party,Malelo and Company,True,Portable HDD,8mm,LTO-9,400,400,05/07,120
$0.008,$8.167,$49,6 TB,,Tape,LTO-7,Used,https://www.amazon.com/dp/B01DP1ZOMO?tag=synack-20&linkCode=osi&th=1&psc=1,IBM Media 38L7302 ULTRIUM LTO 7 Tape Cartridge - 6.0TB,4.6,21,IBM,38L7302,True,new,Malelo and Company,Malelo and Company,True,Tape Cartridge,Tape,USB,750,300,04/30,12
$0.008,$8.209,$410,2.5 TB x20,,Tape,LTO-6,New,https://www.amazon.com/dp/B01N6E78QR?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum Standard Storage Media - LTO Ultrium Black (MR-L6LQN-LP),5.0,1,Quantum,MR-L6LQN-LP,True,new,third-party,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,400,400,04/30,60
$0.008,$8.499,"$1,020",6 TB x20,,Tape,LTO-7,New,https://www.amazon.com/dp/B01E1XNESQ?tag=synack-20&linkCode=osi&th=1&psc=1,IBM ULTRIUM LTO 7 Tape Cartridge - 2.5TB - Library Pack - 20 CARTS PER Pack 38L7315,4.5,0,IBM,38L7315,True,new,Amazon,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,300,300,05/01,12
$0.009,$8.618,$259,1.5 TB x20,,Tape,LTO-5,New,https://www.amazon.com/dp/B003CNXO8W?tag=synack-20&linkCode=ogi&th=1&psc=1,Quantum MR-L5MQN-20 Data Cartridge - LTO Ultrium - LTO-5-20 Pack,4.8,7,Quantum,MR-L5MQN-20,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,200,140,05/01,12
$0.009,$8.647,$13,1.5 TB,,Tape,LTO-5,Used,https://www.amazon.com/dp/B003F8MT5I?tag=synack-20&linkCode=osi&th=1&psc=1,HP C7975A LTO-5 Ultrium 3 TB Data Cartridge,4.4,69,HP,C7975A,limited,new,Saab Trading Group,Saab Trading Group,True,Portable HDD,"3.5""",USB 3.0,1000,1000,05/04,12
$0.009,$8.665,"$1,040",6 TB x20,,Tape,LTO-7,New,https://www.amazon.com/dp/B079P1FYXG?tag=synack-20&linkCode=osi&th=1&psc=1,Hewlett Packard Enterprise 20 x LTO Ultrium 7-9 TB / 22.5 TB - Write-on Labels,4.5,12,Hewlett Packard Enterprise,Q2078ML,True,new,third-party,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,140,140,04/30,12
$0.009,$8.796,$22,2.5 TB,,Tape,LTO-6,New,https://www.amazon.com/dp/B00EOEF41S?tag=synack-20&linkCode=osi&th=1&psc=1,Tape LTO Ultrium-6 2.5TB/6.25TB BARIUM FERRITE (BaFe) Labeled,4.0,0,IBM,00V7590L,True,new,Amazon,Malelo and Company,True,Portable HDD,"2.5""",USB 3.0,120,120,05/07,12
$0.009,$8.934,$107,12 TB,,Tape,LTO-8,New,https://www.amazon.com/dp/B078KGVM84?tag=synack-20&linkCode=osi&th=1&psc=1,Hewlett Packard Enterprise LTO Ultrium Worm 8-12 TB / 30 TB - Write-on Labels - Green,4.5,12,Hewlett Packard Enterprise,Q2078W,limited,new,third-party,BeachAudio,True,Portable HDD,"3.5""",USB 3.0,180,180,04/29,12
$0.009,$9.000,$108,12 TB,,Tape,LTO-8,New,https://www.amazon.com/dp/B0FSGR26TB?tag=synack-20&linkCode=osi&th=1&psc=1,Genuine Q2078A LTO-8 Ultrium 30TB RW Data Cartridge Original,4.5,0,Generic,Q2078A,True,new,third-party,Tech on Time (SN RECORDED),True,HDD,LTO-8 Cartridge,LTO,0,0,05/01,12
$0.009,$9.008,"$1,081",6 TB x20,,Tape,LTO-7,New,https://www.amazon.com/dp/B017OUMWX6?tag=synack-20&linkCode=osi&th=1&psc=1,HP 20PK LTO-7 ULTRIUM Non Custom LBL,5.0,3,HP,C7977AL,True,new,Amazon,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,150,150,05/01,12
$0.009,$9.166,"$21,999",2.5 TB x960,,Tape,LTO-6,New,https://www.amazon.com/dp/B00C2AS21K?tag=synack-20&linkCode=ogi&th=1&psc=1,HP LTO6 BaFe No Case Pallet of 960 Tapes,0,0,HP,C7976BB,limited,new,third-party,Malelo and Company,False,HDD,"3.5""",SATA III,0,0,05/07,12
$0.009,$9.316,$168,18 TB,,Tape,LTO-9,New,https://www.amazon.com/dp/B09H58JXN5?tag=synack-20&linkCode=osi&th=1&psc=1,Hewlett Packard Enterprise HPE LTO-9 45TB Worm Data Cartridge,4.5,0,HP,CC87488,True,new,Triplenet Pricing INC,Triplenet Pricing INC,True,Portable HDD,"3.5""",USB 2.0,1000,1000,05/12,12
$0.009,$9.327,$466,2.5 TB x20,,Tape,LTO-6,New,https://www.amazon.com/dp/B00YT6XGZM?tag=synack-20&linkCode=osi&th=1&psc=1,"3422318 Quantum Data Cartridge, LTO ULTRIUM 6, 20-Pack. Library Pack for LTO-6 Tape Drive",4.5,12,Bulborama,3422318,yes,new,ABCX DIRECT,ABCX DIRECT,yes,Tape Cartridge,LTO-6,Tape,160,160,04/30,12
$0.009,$9.333,$560,6 TB x10,,Tape,LTO-7,New,https://www.amazon.com/dp/B0743JPB97?tag=synack-20&linkCode=osi&th=1&psc=1,IBM LTO 7 Tape - 10 Pack,5.0,8,IBM,38L7302,True,new,Malelo and Company,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,300,300,04/30,12
$0.010,$9.522,$571,6 TB x10,,Tape,LTO-7,New,https://www.amazon.com/dp/B0743K3W7Y?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji LTO 7 Ultrium Tape - 10 Pack,5.0,8,Fuji,16456574,True,new,Amazon,ABCX DIRECT,True,Portable HDD,"3.5""",USB 3.0,300,300,04/30,12
$0.010,$9.576,$575,6 TB x10,,Tape,LTO-7,New,https://www.amazon.com/dp/B07PK4GP8M?tag=synack-20&linkCode=osi&th=1&psc=1,10-Pack HPE LTO 7 Ultrium C7977A 6TB/15TB Data Cartridge,4.1,9,HPE,C7977A,True,new,third-party,Malelo and Company,True,Portable HDD,Cartridge,LTO-7,300,300,05/01,12
$0.010,$9.580,$24,2.5 TB,,Tape,LTO-6,New,https://www.amazon.com/dp/B00AAHS9R4?tag=synack-20&linkCode=osi&th=1&psc=1,"Quantum MR-L6MQN-01 Standard LTO Ultrium, Black",4.5,0,Quantum,MR-L6MQN-01,True,new,Amazon,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,0,0,04/30,120
$0.010,$9.648,$579,6 TB x10,,Tape,LTO-7,New,https://www.amazon.com/dp/B071GPS5G7?tag=synack-20&linkCode=osi&th=1&psc=1,HP LTO Ultrium 7 Tape Cartridge 10 Pack,5.0,2,HP,HPC7977A-10PK,True,new,third-party,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,300,300,04/30,12
$0.010,$9.665,"$1,160",6 TB x20,,Tape,LTO-7,New,https://www.amazon.com/dp/B019JJOODG?tag=synack-20&linkCode=osi&th=1&psc=1,Lto Ultrium 7 Prelabeled Media Cartridge 20-Pack,4.5,45,Quantum,MR-L7LQN-BC,True,new,third-party,Malelo and Company,False,Tape Cartridge,Cartridge,LTO-7,300,300,05/01,0
$0.010,$9.677,$58,6 TB,,Tape,LTO-7,New,https://www.amazon.com/dp/B016J6Q2XW?tag=synack-20&linkCode=osi&th=1&psc=1,IBM 38L7302 LTO7 Ultrium7 15TB RW Data Cartridge (New),5.0,1,IBM,38L7302,True,new,Malelo and Company,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,100,100,04/30,12
$0.010,$9.792,$294,1.5 TB x20,,Tape,LTO-5,New,https://www.amazon.com/dp/B00TGP3KES?tag=synack-20&linkCode=osi&th=1&psc=1,Fujifilm Lto Ultrium 5 1.5Tb/3Tb Library 20 Pack,4.0,0,Fujifilm,16008042,limited,new,third-party,Saab Trading Group,False,Portable HDD,"3.5""",USB 3.0,140,140,05/04,12
$0.010,$9.848,$591,6 TB x10,2 years,Tape,LTO-7,New,https://www.amazon.com/dp/B0D3S9M2GR?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum LTO 7 10 Pack,4.0,50,Quantum,LTO 7,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,700,700,05/07,24
$0.010,$9.888,$25,2.5 TB,,Tape,LTO-6,New,https://www.amazon.com/dp/B00CJZNRAY?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum MR-L6MQN-01 Blank Data Tape,3.7,6,Quantum,MR-L6MQN-01,True,new,third-party,ABCX DIRECT,True,Data Cartridge,Data Tape,LTO Ultrium 6,,,04/30,
$0.010,$9.917,$60,6 TB,,Tape,LTO-7,New,https://www.amazon.com/dp/B018J4H8EO?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum LTO Ultrium-7 Data Cartridge,4.8,8,Quantum,FBA_MR-L7MQN-01,True,new,Amazon,ABCX DIRECT,True,Portable HDD,"3.5""",USB 3.0,330,330,04/30,36
$0.010,$10.00,$500,2.5 TB x20,,Tape,LTO-6,New,https://www.amazon.com/dp/B07BK9TM6K?tag=synack-20&linkCode=osi&th=1&psc=1,mLogic FujiFilm LTO-6 Tape Cartridges 20 pack,5.0,1,mLogic,FUJI-LTO6-20,True,new,Amazon,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,240,240,04/30,12
$0.010,$10.00,$500,2.5 TB x20,,Tape,LTO-6,New,https://www.amazon.com/dp/B00AAHS9J2?tag=synack-20&linkCode=osi&th=1&psc=1,20-Pack Quantum MR-L6MQN-01 LTO 6 Ultrium Data Cartridges,4.1,6,Quantum,MR-L6LQN-BC,yes,new,Malelo and Company,Malelo and Company,yes,LTO Tape Cartridge,Cartridge,LTO 6,,,04/30,12
$0.010,$10.00,$500,2.5 TB x20,2 years,Tape,LTO-6,New,https://www.amazon.com/dp/B0CYDWXQ3N?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji LTO 6 Tape Cartridge 20 Pack,4.5,0,Malelo and Company,LTO 6,True,new,third-party,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,400,160,05/07,24
$0.010,$10.16,$127,2.5 TB x5,,Tape,LTO-6,New,https://www.amazon.com/dp/B00B66J2QU?tag=synack-20&linkCode=osi&th=1&psc=1,Ultrium 6 Data Cartridge (5-Pack),5.0,1,IBM,35P1902,True,new,ABCX DIRECT,ABCX DIRECT,False,Portable HDD,"3.5""",USB 3.0,100,100,04/30,12
$0.010,$10.19,$127,2.5 TB x5,,Tape,LTO-6,New,https://www.amazon.com/dp/B00M3BH4X0?tag=synack-20&linkCode=osi&th=1&psc=1,5-Pack Fujifilm LTO Ultrium 6 Data Cartridge,3.8,12,Fujifilm,16310732,True,new,third-party,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,160,160,04/30,12
$0.010,$10.28,$26,2.5 TB,,Tape,LTO-6,New,https://www.amazon.com/dp/B01N5CRBNA?tag=synack-20&linkCode=osi&th=1&psc=1,"Quantum Data Lt06 Cartridge, Lto Ultrium 6, Mp.",4.0,26,Quantum,MR-L6MQN-03,True,new,Amazon,ABCX DIRECT,True,Portable HDD,"3.5""",USB 3.0,240,240,04/30,12
$0.010,$10.40,$26,2.5 TB,,Tape,LTO-6,New,https://www.amazon.com/dp/B01MQV6BBA?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum MR-L6MQN-BL Tape Lto Ultrium-6 2.5tb/6.25tb Metal Particle [mp] Labeled,4.5,0,Quantum,MR-L6MQN-BL,True,new,Malelo and Company,Malelo and Company,True,Tape Cartridge,Cartridge,LTO Ultrium 6,0,0,04/30,0
$0.011,$10.52,$263,2.5 TB x10,,Tape,LTO-6,New,https://www.amazon.com/dp/B089D63JVY?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji LTO Ultrium 6 Tape Cartridge 10 Pack,4.7,9,Fuji,BU-NGVL-UF0N,True,new,Amazon,ABCX DIRECT,True,Portable HDD,"3.5""",USB 3.0,240,240,04/30,12
$0.011,$10.60,$530,2.5 TB x20,,Tape,LTO-6,New,https://www.amazon.com/dp/B00AZTUEXE?tag=synack-20&linkCode=osi&th=1&psc=1,HP LTO-6 Ultrium 6.25 TB BaFe RW Non Custom Labeled Data Cartridge 20 Pack C7976BN,1.0,1,HP,C7976BN,True,new,third-party,Malelo and Company,False,Portable HDD,LTO Tape,SAS,400,400,05/07,0
$0.011,$10.65,$64,6 TB,,Tape,LTO-7,New,https://www.amazon.com/dp/B01B63HYT4?tag=synack-20&linkCode=osi&th=1&psc=1,"Quantum LTO-7 Tape Ultrium, 6TB/15TB LTO-7, Part",5.0,1,Quantum,LTO-7,True,new,third-party,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,750,750,04/30,12
$0.011,$10.66,$64,6 TB,,Tape,LTO-7,New,https://www.amazon.com/dp/B019DGCRAW?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji Fujifilm LTO Ultrium 7-6 TB / 15 TB (16456574),4.8,9,Fujifilm,16456574,True,new,Malelo and Company,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,280,280,04/30,12
$0.011,$10.72,$322,1.5 TB x20,,Tape,LTO-5,New,https://www.amazon.com/dp/B005YNURV0?tag=synack-20&linkCode=osi&th=1&psc=1,Quantum 20 x LTO Ultrium 5-1.5 TB / 3 TB - Library Pack,4.4,0,Quantum,MR-L5MQN-20,True,new,ABCX DIRECT,ABCX DIRECT,True,Portable HDD,"4.0""",LTO Ultrium 5,0,0,04/30,12
$0.011,$11.12,$139,2.5 TB x5,,Tape,LTO-6,New,https://www.amazon.com/dp/B00NUT7WT0?tag=synack-20&linkCode=osi&th=1&psc=1,5-Pack IBM LTO 6 Ultrium 00V7590 (2.5/6.25 TB) Data Cartridge,4.7,36,IBM,00V7590,True,new,ABCX DIRECT,ABCX DIRECT,True,Portable HDD,"2.5""",USB 3.0,500,500,04/30,12
$0.011,$11.17,$84,1.5 TB x5,,Tape,LTO-5,New,https://www.amazon.com/dp/B00VXG7KXU?tag=synack-20&linkCode=osi&th=1&psc=1,IBM 08L9120 LTO-1 Ultrium-1 Data Cartridges Qty 5 Per Box,0,0,IBM,08L9120,limited,new,Amazon,Saab Trading Group,False,Portable HDD,"2.5""",USB 2.0,0,0,05/04,0
$0.011,$11.20,$28,2.5 TB,,Tape,LTO-6,New,https://www.amazon.com/dp/B00WUCTBOW?tag=synack-20&linkCode=osi&th=1&psc=1,"Dell LTO-6 Tape 2.5tb/6.25tb, Dell Lto-6 Ultrium, Part",4.2,6,Dell,8541703781,True,new,third-party,NemoCo,no,Tape Cartridge,LTO-6,LTO,,,05/04,
$0.011,$11.22,$561,2.5 TB x20,,Tape,LTO-6,New,https://www.amazon.com/dp/B00P9Y7XNO?tag=synack-20&linkCode=osi&th=1&psc=1,"HEWLETT PACKARD ENTERPRISE C7976AC Mp Rw Cust Labeled, LTO - 6 Ultrium, 6.25TB, 20 Pack",4.0,0,HEWLETT PACKARD,C7976AC,True,new,Amazon,Malelo and Company,True,Portable HDD,"5.25""",Ethernet,0,0,04/30,0
$0.011,$11.25,$180,800 GB x20,,Tape,LTO-4,New,https://www.amazon.com/dp/B004UI5ACQ?tag=synack-20&linkCode=osi&th=1&psc=1,FUJIFILM LTO ULTRIUM 4 800GB/1.6TB LIBRARY 20 PACK,4.5,12,Fujifilm,15716812,True,new,third-party,Malelo and Company,no,Portable HDD,"3.5""",USB 3.0,240,240,05/07,12
$0.011,$11.33,$34,3 TB,,Internal,SAS,Used,https://www.amazon.com/dp/B005WSXR3M?tag=synack-20&linkCode=osi&th=1&psc=1,Seagate ST33000650SS Constellation ES.2 SAS 6Gb/s 3-TB Hard Drive,3.5,27,Seagate,ST33000650SS,limited,new,ONLINE USA OUTLET,ONLINE USA OUTLET,True,HDD,"3.5""",SAS,155,750,05/01,12
$0.012,$11.52,$576,2.5 TB x20,,Tape,LTO-6,New,https://www.amazon.com/dp/B00CJ7K264?tag=synack-20&linkCode=osi&th=1&psc=1,"Fuji LTO, Ultrium-6, 16310744, 2.5TB/6.25TB, Library Pack of 20",4.5,0,Fujifilm,FJI16310744,yes,new,Amazon,ABCX DIRECT,yes,Portable HDD,"3.5""",USB 3.0,160,160,04/30,12
$0.012,$11.67,$35,3 TB,3 months,Internal,SAS,Used,https://www.amazon.com/dp/B07MG52QKS?tag=synack-20&linkCode=osi&th=1&psc=1,Dell 4CMD9 EQUALLOGIC 3TB NL SAS 3.5 Drive (Renewed),3.6,304,Dell,4CMD9,True,refurbished,Computer Supply,Computer Supply,True,HDD,"3.5""",SAS,,,05/04,3
$0.012,$11.71,$187,800 GB x20,,Tape,LTO-4,New,https://www.amazon.com/dp/B00C0UMOM0?tag=synack-20&linkCode=osi&th=1&psc=1,"Imation LTO Ultrium 4 Data Cartridge - LTO-4, 800GB (Native) / 1.6TB (Compressed), 20 Pack",5.0,2,Imation,Imation-48992,True,new,Malelo and Company,Malelo and Company,True,Portable HDD,"3.5""",USB 3.0,0,0,04/30,12
$0.012,$11.80,"$5,899",2.5 TB x200,,Tape,LTO-6,New,https://www.amazon.com/dp/B0CNJ6DYMG?tag=synack-20&linkCode=osi&th=1&psc=1,LTO 6 Data Cartridge with Custom Labels 200 Pack,4.5,42,Malelo and Company,LTO 6,limited,new,third-party,Malelo and Company,no,Portable HDD,"3.5""",USB 3.0,400,400,05/07,120
$0.012,$11.88,$30,2.5 TB,,Tape,LTO-6,New,https://www.amazon.com/dp/B00HXGRWQY?tag=synack-20&linkCode=osi&th=1&psc=1,Fuji 16310732 New Sealed LTO-6 Ultrium Tape 2.5TB/6.25TB,3.9,4,Fujifilm,16310732,yes,new,ABCX DIRECT,ABCX DIRECT,yes,Portable HDD,"3.5""",USB 3.0,,,04/30,12
$0.012,$11.97,$18,1.5 TB,,Tape,LTO-5,New,https://www.amazon.com/dp/B00TXUANR8?tag=synack-20&linkCode=osi&th=1&psc=1,"The Great Fuji LTO, Ultrium-5, 16008030, 1.5TB/3.0TB, TAA - 16008030",5.0,1,Fuji,FJI16008030,True,new,Malelo and Company,Malelo and Company,False,Portable HDD,"3.5""",USB 3.0,0,0,04/30,12
